Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/properties/pbcore-link,Pbcore Link,,
Property,http://arkumu.org/properties/pdf,Pdf,,
Property,http://arkumu.org/properties/physisches-objekt,Physisches Objekt,,
Property,http://arkumu.org/properties/physisches-objekt-id,Physisches Objekt Id,,
Property,http://arkumu.org/properties/produkt-id-typ,Produkt Id Typ,,
Property,http://arkumu.org/properties/produkt-id-wert,Produkt Id Wert,,
Property,http://arkumu.org/properties/projekt,Projekt,,
Property,http://arkumu.org/properties/projekt-id,Projekt Id,Projekt_ID,"auch: ""Datensatz Id Beim Einlieferer"""
Property,http://arkumu.org/properties/projekt-projekt-id,Projekt Projekt Id,,
Property,http://arkumu.org/properties/projekt-projekteigenschaft-id,Projekt Projekteigenschaft Id,,
Property,http://arkumu.org/properties/projektart,Projektart,,
Property,http://arkumu.org/properties/projektart-id,Projektart Id,,
Property,http://arkumu.org/properties/projekteigenschaft-id,Projekteigenschaft Id,,
Property,http://arkumu.org/properties/projekterstellung-beim-einlieferer,Projekterstellung Beim Einlieferer,,(benutze überall Letzte Datensatzmodifikation Beim Einlieferer) 
Property,http://arkumu.org/properties/projektkategorie,Projektkategorie,_Projekte_Export_Projektkategorien_arkumu,
Property,http://arkumu.org/properties/projektkategorie-id,Projektkategorie Id,,
Property,http://arkumu.org/properties/projektkompilation,Projektkompilation,,
Property,http://arkumu.org/properties/property-cardinality,Property Cardinality,,
Property,http://arkumu.org/properties/property-datatype,Property Datatype,,
Property,http://arkumu.org/properties/provenienz,Provenienz,,
Property,http://arkumu.org/properties/provinienz,Provinienz,,
Property,http://arkumu.org/properties/rechtsstatus,Rechtsstatus,_globale_Exportvariablen_arkumu_Rechtsstatus,
Property,http://arkumu.org/properties/rolle-id,Rolle Id,,
Property,http://arkumu.org/properties/rollen-der-akteurin-im-ereignis,Rollen Der Akteurin Im Ereignis,"AS_Taetigkeit_arkumu_Rolle,_globale_Exportvariablen_arkumu_Rolle",
Property,http://arkumu.org/properties/sammlung-id,Sammlung Id,,
Property,http://arkumu.org/properties/sammlungsart,Sammlungsart,,
Property,http://arkumu.org/properties/schlagwort,Schlagwort,,
Property,http://arkumu.org/properties/schlagwort-id,Schlagwort Id,,
Property,http://arkumu.org/properties/signatur-beim-einlieferer,Signatur Beim Einlieferer,Projekt_ID,
Property,http://arkumu.org/properties/sonderregelung,Sonderregelung,,
Property,http://arkumu.org/properties/sortierung,Sortierung,,
Property,http://arkumu.org/properties/spaetestes-geburtsdatum,Spaetestes Geburtsdatum,,
