Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/data/properties/nicht-oeffentlicher-name,Nicht Oeffentlicher Name,nicht_öffentlicher_Name,
Property,http://arkumu.org/data/properties/nicht-oeffentlicher-name-begruendung,Nicht Oeffentlicher Name Begruendung,,
Property,http://arkumu.org/data/properties/normdatei,Normdatei,,
Property,http://arkumu.org/data/properties/nummernart-id,Nummernart Id,,
Property,http://arkumu.org/data/properties/objekttyp,Objekttyp,"Bildart,TR_Type_Kurz",
Property,http://arkumu.org/data/properties/orcid,Orcid,PE_Normdatum_ORCID,
Property,http://arkumu.org/data/properties/organisationseinheit,Organisationseinheit,Fächergruppe,
Property,http://arkumu.org/data/properties/organisationseinheit-id,Organisationseinheit Id,,
Property,http://arkumu.org/data/properties/originalsprache,Originalsprache,Sprache der Originalfassung,
Property,http://arkumu.org/data/properties/ort-id,Ort Id,,
Property,http://arkumu.org/data/properties/pbcore-link,Pbcore Link,,
Property,http://arkumu.org/data/properties/pdf,Pdf,,
Property,http://arkumu.org/data/properties/physisches-objekt,Physisches Objekt,,
Property,http://arkumu.org/data/properties/physisches-objekt-id,Physisches Objekt Id,,
Property,http://arkumu.org/data/properties/produkt-id-typ,Produkt Id Typ,,
Property,http://arkumu.org/data/properties/produkt-id-wert,Produkt Id Wert,,
Property,http://arkumu.org/data/properties/projekt,Projekt,"Kr_Proj_ID,Proj_ID_fk,Projekte_Projekt_ID,AS_Proj_ID,Projekt_ID,Projekt_UUID",
Property,http://arkumu.org/data/properties/projekt,Projekt,Projekt_ID,"auch: ""Datensatz Id Beim Einlieferer"""
Property,http://arkumu.org/data/properties/projekt-projekt-id,Projekt Projekt Id,,
Property,http://arkumu.org/data/properties/projekt-projekteigenschaft-id,Projekt Projekteigenschaft Id,,
Property,http://arkumu.org/data/properties/projektart,Projektart,,
Property,http://arkumu.org/data/properties/projektart-id,Projektart Id,,
Property,http://arkumu.org/data/properties/projekteigenschaft-id,Projekteigenschaft Id,,
Property,http://arkumu.org/data/properties/projekterstellung-beim-einlieferer,Projekterstellung Beim Einlieferer,,(benutze überall Letzte Datensatzmodifikation Beim Einlieferer) 
Property,http://arkumu.org/data/properties/projektkategorie,Projektkategorie,_Projekte_Export_Projektkategorien_arkumu,
Property,http://arkumu.org/data/properties/projektkategorie-id,Projektkategorie Id,,
Property,http://arkumu.org/data/properties/projektkompilation,Projektkompilation,,
Property,http://arkumu.org/data/properties/property-cardinality,Property Cardinality,,
Property,http://arkumu.org/data/properties/property-datatype,Property Datatype,,
Property,http://arkumu.org/data/properties/provenienz,Provenienz,,
Property,http://arkumu.org/data/properties/provinienz,Provinienz,,
Property,http://arkumu.org/data/properties/rechtsstatus,Rechtsstatus,_globale_Exportvariablen_arkumu_Rechtsstatus,
Property,http://arkumu.org/data/properties/rolle-id,Rolle Id,,
Property,http://arkumu.org/data/properties/rollen-der-akteurin-im-ereignis,Rollen Der Akteurin Im Ereignis,"AS_Taetigkeit_arkumu_Rolle,_globale_Exportvariablen_arkumu_Rolle",
Property,http://arkumu.org/data/properties/sammlung-id,Sammlung Id,,
Property,http://arkumu.org/data/properties/sammlungsart,Sammlungsart,,
Property,http://arkumu.org/data/properties/schlagwort,Schlagwort,Keyword_ID_fk,
Property,http://arkumu.org/data/properties/schlagwort-id,Schlagwort Id,,
Property,http://arkumu.org/data/properties/signatur-beim-einlieferer,Signatur Beim Einlieferer,,
Property,http://arkumu.org/data/properties/sonderregelung,Sonderregelung,,
Property,http://arkumu.org/data/properties/sortierung,Sortierung,,
Property,http://arkumu.org/data/properties/spaetestes-geburtsdatum,Spaetestes Geburtsdatum,,
Property,http://arkumu.org/data/properties/spaetestes-sterbedatum,Spaetestes Sterbedatum,,
Property,http://arkumu.org/data/properties/sprache-der-beschreibung,Sprache Der Beschreibung,,
Property,http://arkumu.org/data/properties/sprache-der-ereignisbeschreibung,Sprache Der Ereignisbeschreibung,,
Property,http://arkumu.org/data/properties/sprache-des-alternativen-titels,Sprache Des Alternativen Titels,"Titel_erster_alternativer_Titel_Sprache,Titel_zweiter_alternativer_Titel_Sprache",
Property,http://arkumu.org/data/properties/sprache-des-alternativen-untertitels,Sprache Des Alternativen Untertitels,"Titel_erster_alternativer_Untertitel_Sprache,Titel_zweiter_alternativer_Untertitel_Sprache",
Property,http://arkumu.org/data/properties/sprache-des-bevorzugten-titels,Sprache Des Bevorzugten Titels,Originaltitel_Sprache,
Property,http://arkumu.org/data/properties/sprache-des-bevorzugten-untertitels,Sprache Des Bevorzugten Untertitels,Untertitel_Sprache,
Property,http://arkumu.org/data/properties/sprache-id,Sprache Id,,
Property,http://arkumu.org/data/properties/sprachfassung,Sprachfassung,"TR_Sprache,Synchronisationsfassung",
Property,http://arkumu.org/data/properties/sterbeort,Sterbeort,,
Property,http://arkumu.org/data/properties/synonyme,Synonyme,,
Property,http://arkumu.org/data/properties/systemvoraussetzungen,Systemvoraussetzungen,,
Property,http://arkumu.org/data/properties/technikschlagwort,Technikschlagwort,,
Property,http://arkumu.org/data/properties/technikschlagwort-id,Technikschlagwort Id,,
Property,http://arkumu.org/data/properties/technischer-kommentar-deutsch,Technischer Kommentar Deutsch,,
Property,http://arkumu.org/data/properties/technischer-kommentar-englisch,Technischer Kommentar Englisch,,
Property,http://arkumu.org/data/properties/teil-einer-serie,Teil Einer Serie,,
Property,http://arkumu.org/data/properties/tonformat,Tonformat,"Tonformat,Filmtonverfahren",
Property,http://arkumu.org/data/properties/tonmischfassung,Tonmischfassung,Tonmischfassung,
Property,http://arkumu.org/data/properties/ungesicherte-zuschreibung,Ungesicherte Zuschreibung,,
Property,http://arkumu.org/data/properties/untertitelsprache,Untertitelsprache,Sprache Untertitel,
Property,http://arkumu.org/data/properties/uri,Uri,,
Property,http://arkumu.org/data/properties/verantwortliche-hochschule,Verantwortliche Hochschule,,
Property,http://arkumu.org/data/properties/verknuepfter-akteurin,Verknuepfter Akteurin,,
